"filename", "language", "C++", "Ini", "Markdown", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\.VSCodeCounter\2024-05-12_23-43-32\details.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 6, 62
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\.VSCodeCounter\2024-05-12_23-43-32\diff-details.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 6, 62
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\.VSCodeCounter\2024-05-12_23-43-32\diff.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\.VSCodeCounter\2024-05-12_23-43-32\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\.VSCodeCounter\2024-05-12_23-43-32\results.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\docs\archi.svg", "XML", 0, 0, 0, 0, 283, 0, 0, 0, 283
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\docs\dependency_graph.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\docs\interruption.svg", "XML", 0, 0, 0, 0, 296, 0, 0, 0, 296
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\docs\low_level_behaviour.md", "Markdown", 0, 0, 81, 0, 0, 0, 0, 16, 97
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\docs\scheduleNextILI.svg", "XML", 0, 0, 0, 0, 323, 0, 0, 0, 323
